Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2019-09-30,52894000,24470000,17280900,103909600,28082000
2019-10-01,61690000,24504000,21466600,139223200,25470000
2019-10-02,66022000,33030000,30521700,138449200,32302000
2019-10-03,69364000,28368000,24132900,114426000,32424000
2019-10-04,49438000,24282000,22897700,138478800,23248000
2019-10-07,43094000,17040000,15303700,122306000,16858000
2019-10-08,50840000,20086000,25550500,111820000,20786000
2019-10-09,40870000,15948000,19749900,74770400,17354000
2019-10-10,51504000,12842000,17654600,113013600,16932000
2019-10-11,65100000,22330000,25446000,166795600,25454000
2019-10-14,38204000,13296000,13304300,96427600,17350000
2019-10-15,62234000,27584000,19695700,87360000,27634000
2019-10-16,55268000,22986000,20751600,73903200,21892000
2019-10-17,52948000,20958000,21460600,67585200,19048000
2019-10-18,67250000,31624000,32273500,97433600,27056000
2019-10-21,42608000,18094000,20078200,87247200,20544000
2019-10-22,42234000,22862000,27431000,82293600,20476000
2019-10-23,42764000,21282000,29844600,75828800,18230000
2019-10-24,88922000,20224000,37029300,69275200,20562000
2019-10-25,192528000,27104000,25959700,73477200,24262000
2019-10-28,74178000,65428000,35280100,96572800,52264000
2019-10-29,45538000,52654000,20589500,142839600,37728000
2019-10-30,48988000,29204000,18496600,124522000,28178000
2019-10-31,55624000,31904000,24605100,139162000,29114000
2019-11-01,55808000,28812000,33128400,151125200,33402000
2019-11-04,55438000,30632000,16912000,103272000,30020000
2019-11-05,37710000,25148000,18250200,79897600,25654000
2019-11-06,40596000,24626000,16575800,75864400,23060000
2019-11-07,53022000,45140000,17786700,94940400,40600000
2019-11-08,42466000,30392000,16732700,69986400,25028000
2019-11-11,38920000,17234000,14362600,81821200,20238000
2019-11-12,40752000,28852000,18641600,87388800,21718000
2019-11-13,59790000,20538000,16919200,102734400,16534000
2019-11-14,45296000,28948000,19729800,89182800,23870000
2019-11-15,78552000,39286000,23485700,100206400,35652000
2019-11-18,56790000,27984000,21534000,86703200,29748000
2019-11-19,45416000,21864000,23935700,76167200,25384000
2019-11-20,55800000,28892000,25696800,106234400,26172000
2019-11-21,53258000,25546000,18576100,121395200,19910000
2019-11-22,49582000,27776000,15901800,65325200,27714000
